FSA,postal_code,price,source_loaded
 M5T, M5T2V4,119.0,Hotels.com
 M5T, M5T2S3,139.0,Hotels.com
 M5T, M5T1E8,89.0,Hotels.com
 M5T, M5T2C2,144.0,Hotels.com
 M5V, M5V2V4,259.0,Hotels.com
 M1H, M1H2Z1,139.0,Hotels.com
 M1T, M1T-3G2,154.0,Hotels.com
 Can, Canada,78.0,Hotels.com
 M1M, M1M1P8,105.0,Hotels.com
 M9C, M9C5K5,179.0,Hotels.com
 M9C, M9C 5K5,149.0,Hotels.com
 L4W, L4W4X2,139.0,Hotels.com
 L4W, L4W5R2,139.0,Hotels.com
 M9W, M9W 5E7,117.0,Hotels.com
 M9W, M9W5E8,130.0,Hotels.com
 M9W, M9W 5E8,199.0,Hotels.com
 M9W, M9W1J5,129.0,Hotels.com
 M4P, M4P2L2,149.0,Hotels.com
 M5R, M5R 2G3,134.0,Hotels.com
 M4W, M4W 0A4,599.0,Hotels.com
 M4W, M4W1A7,189.0,Hotels.com
 M5R, M5R 1C4,131.0,Hotels.com
 M5V, M5V 2G3,309.0,Hotels.com
 M5V, M5V 1J9,179.0,Hotels.com
 M5V, M5V1H3,306.0,Hotels.com
 M5V, M5V3T4,300.0,Hotels.com
 M5V, M5V3P9,179.0,Hotels.com
 M5B, M5B2G8,149.0,Hotels.com
 M5B, M5B 1V8,230.0,Hotels.com
 M5G, M5G 2L2,209.0,Hotels.com
 M5C, M5C 1S2,299.0,Hotels.com
 M5B, M5B1G3,137.0,Hotels.com
 M5C, M5C1N2,199.0,Hotels.com
 M5C, M5C1E9,212.0,Hotels.com
 M5H, M5H 4G3,509.0,Hotels.com
 M5G, M5G1Z4,149.0,Hotels.com
 M5B, M5B2E9,170.0,Hotels.com
 M4Y, M4Y1X7,169.0,Hotels.com
 M9W, M9W 6K5,140.0,Hotels.com
 M9W, M9W1H3,122.0,Hotels.com
 M9W, M9W 7K7,159.0,Hotels.com
 L4V, L4V1A3,125.0,Hotels.com
 L4V, L4V 1A3,154.0,Hotels.com
 M4Y, M4Y 1S1,219.0,Hotels.com
 M4Y, M4Y2G2,149.0,Hotels.com
 M5S, M5S 3E7,406.0,Hotels.com
 M5B, M5B2C2,109.0,Hotels.com
 M5A, M5A2G2,93.0,Hotels.com
 M9W, M9W1J8,129.0,Hotels.com
 M9W, M9W5G1,159.0,Hotels.com
 M4J, M4J1L9,90.0,Hotels.com
 M4M, M4M2G1,249.0,Hotels.com
 M5A, M5A2A5,99.0,Hotels.com
 M4X, M4X 1L8,69.0,Hotels.com
 M2J, M2J4R2,129.0,Hotels.com
 M5J, M5J 0A6,129.0,Hotels.com
 M5J, M5J3A6,199.0,Hotels.com
 M5J, M5J 0A9,170.0,Hotels.com
 M5J, M5J 0B1,129.0,Hotels.com
 M5G, M5G1R3,159.0,Hotels.com
 M5H, M5H2M9,169.0,Hotels.com
 M5H, M5H2L2,179.0,Hotels.com
 M5V, M5V1Z1,155.0,Hotels.com
 M6J, M6J 1J3,279.0,Hotels.com
 M6J, M6J 1J6,249.0,Hotels.com
 M6K, M6K 3C3,301.0,Hotels.com
 M5A, M5A2N9,500.0,Hotels.com
