latitude,longitude,postal_code,fsa
43.696020000000004,-79.45468000000001,M6E 2P3,M6E 
43.6453,-79.3894,M5V 3P5,M5V 
43.6689,-79.32592,M4L 2P8,M4L 
43.7041,-79.39026,M4S 2M5,M4S 
43.64151,-79.37643,M5J 2V3,M5J 
43.63532,-79.44049,M6K 1J3,M6K 
43.69458,-79.28681,M1L 2V5,M1L 
43.74858,-79.29111,M1R 4A4,M1R 
43.67185,-79.38583,M4W 3G8,M4W 
43.67136,-79.38598,M4W 3N4,M4W 
43.67191,-79.38585,M4W 3G8,M4W 
43.67105,-79.38481,M4W 3G8,M4W 
43.642959999999995,-79.40451,M5V 2W8,M5V 
43.642140000000005,-79.37994,M5J 0A7,M5J 
43.645270000000004,-79.37615,M5J 1J5,M5J 
43.65955,-79.36701,M5A 2C6,M5A 
43.6444,-79.40829000000001,M6J 1C4,M6J 
43.65853,-79.42709,M6H 1J9,M6H 
43.67094,-79.38580999999999,M4W 3T3,M4W 
43.64597,-79.40765999999999,M6J 1C4,M6J 
43.65956,-79.43228,M6H 3B8,M6H 
43.67033,-79.38611999999999,M4W 3G8,M4W 
43.69662,-79.45325,M6E 2P3,M6E 
43.64458,-79.41022,M6J 1C9,M6J 
43.632659999999994,-79.35616,M5J 1Y5,M5J 
43.66527,-79.32934,M4L 2M2,M4L 
43.67175,-79.40398,M5R 2R7,M5R 
43.65623,-79.46667,M6P 2R5,M6P 
43.64123,-79.39339,M5V 3Z1,M5V 
43.63559,-79.44048000000001,M6K 1J3,M6K 
43.68872,-79.3299,M4J 4M9,M4J 
43.7037,-79.4082,M5P 2k9,M5P 
43.63633,-79.40075999999999,M5V 0G8,M5V 
43.65781,-79.42065,M6G 3J8,M6G 
43.65687,-79.37495,M5B 2C1,M5B 
43.64776,-79.42709,M6J 3G7,M6J 
43.645509999999994,-79.39274,M5V 3P5,M5V 
43.64835,-79.36301999999999,M5A 4E7,M5A 
43.64618,-79.48833,M6S 4J6,M6S 
43.64366,-79.39155,M5V 3S8,M5V 
43.670390000000005,-79.38578000000001,M4W 3Y1,M4W 
43.655570000000004,-79.40019000000001,M5T 1L8,M5T 
43.763290000000005,-79.41105,M2N 6N3,M2N 
43.7411,-79.48616,M3M 2W4,M3M 
43.78076,-79.24788000000001,M1H 3K2,M1H 
43.68683,-79.42274,M6C 2M4,M6C 
43.672540000000005,-79.30023,M4E 2P4,M4E 
43.69654,-79.39468000000001,M4T 2A4,M4T 
43.66932,-79.38525,M4Y 1R9,M4Y 
43.645579999999995,-79.44938,M6R 1M2,M6R 
43.66597,-79.47388000000001,M6P 2A1,M6P 
43.64217,-79.42848000000001,M6K 1X2,M6K 
43.69447,-79.28794,M1L 2V2,M1L 
43.63978,-79.50473000000001,M8Y 2J7,M8Y 
43.64589,-79.43464,M6K 2L5,M6K 
43.66168,-79.37937,M5B 1H9,M5B 
43.66771,-79.37679,M4Y 2J3,M4Y 
43.63479,-79.39957,M5V 3P4,M5V 
43.66823,-79.43594,M6H 1X5,M6H 
43.65766,-79.33866,M4M 2P7,M4M 
43.667629999999996,-79.40683,M5S 1X6,M5S 
43.68203,-79.45852,M6E 4T5,M6E 
43.683040000000005,-79.45868,M6E 4T5,M6E 
43.6549,-79.37104000000001,M5A 2M9,M5A 
43.65627,-79.37116,M5A 2M9,M5A 
43.65551,-79.37133,M5A 2M9,M5A 
43.64047,-79.41490999999999,M6K 0A1,M6K 
43.64463,-79.44353000000001,M6R 2E7,M6R 
43.6879,-79.35268,M4K 3Y2,M4K 
43.65653,-79.37127,M5A 2M9,M5A 
43.68436,-79.40053,M4V 2N4,M4V 
43.64248,-79.37501999999999,M5J 2R9,M5J 
43.6605,-79.38056999999999,M5B 2H5,M5B 
43.66023,-79.40935,M5S 2R2,M5S 
43.65831,-79.36885,M5A 2M9,M5A 
43.65481,-79.39697,M5T 1L4,M5T 
43.65652,-79.37269,M5A 2M9,M5A 
43.69143,-79.54384,M9R 2Z1,M9R 
43.77053,-79.41101,M2N 3T6,M2N 
43.67093,-79.37298,M4X 1J7,M4X 
43.64294,-79.41038,M7A 2A9,M7A 
43.65504,-79.40016999999999,M5T 1L8,M5T 
43.657,-79.44806,M6P 3L4,M6P 
43.64222,-79.37987,M5J 0A1,M5J 
43.70926,-79.37706999999999,M4S 1G3,M4S 
43.65674,-79.44785999999999,M6P 3L4,M6P 
43.677279999999996,-79.33585,M4J 1E8,M4J 
43.657,-79.44784,M6P 3L4,M6P 
43.66205,-79.4561,M6P 1H7,M6P 
43.64754,-79.37527,M5E 1Z9,M5E 
43.667120000000004,-79.33678,M4M 2Y3,M4M 
43.641329999999996,-79.42305999999999,M6J 0A9,M6J 
43.64895,-79.388,M5H 3C6,M5H 
43.66195,-79.41141,M6G 2N9,M6G 
43.6354,-79.43854,M6K 1J3,M6K 
43.778729999999996,-79.41245,M2N 4L9,M2N 
43.67113,-79.29839,M4L 3V3,M4L 
43.714529999999996,-79.40563,M4R 1J7,M4R 
43.64143,-79.43131,M6K 1L4,M6K 
43.67423,-79.37028000000001,M4W 2Z4,M4W 
43.6798,-79.34218,M4J 2Z4,M4J 
43.65432,-79.39846999999999,M5T 1J5,M5T 
43.64878,-79.38691,M5H 4E9,M5H 
43.671440000000004,-79.37685,M4Y 1V6,M4Y 
43.65765,-79.36281,M5A 3E8,M5A 
43.64283,-79.44686,M6R 2L2,M6R 
43.671490000000006,-79.38611,M4W 3G8,M4W 
43.720290000000006,-79.33473000000001,M3C 3Z5,M3C 
43.6642,-79.38465,M4Y 3B2,M4Y 
43.64235,-79.39084,M5V 3S9,M5V 
43.66859,-79.41411,M6G 1P3,M6G 
43.65395,-79.43132,M6H 1B2,M6H 
43.68499,-79.29131,M4E 3J7,M4E 
43.6617,-79.37496,M5A 1Z8,M5A 
43.79014,-79.38903,M2K 2J9,M2K 
43.656459999999996,-79.4031,M5H 3C6,M5H 
43.63927,-79.43033,M6K 1K1,M6K 
43.660779999999995,-79.38051999999999,M5B 1L4,M5B 
43.68698,-79.42234,M6C 2M3,M6C 
43.677409999999995,-79.31079,M4L 3L4,M4L 
43.7063,-79.48768000000001,M6M 4K6,M6M 
43.64428,-79.40268,M5V 1H6,M5V 
43.64353,-79.40154,M5V 2P2,M5V 
43.687670000000004,-79.44004,M6C 1M2,M6C 
43.67775,-79.42171,M6G 2G2,M6G 
43.66444,-79.42534,M6G 3R9,M6G 
43.64278,-79.41018000000001,M7A 2A9,M7A 
43.75809,-79.31778,M3A 1W7,M3A 
43.66697,-79.40509,M5S 1X6,M5S 
43.657509999999995,-79.37178,M5A 4M1,M5A 
43.64887,-79.43202,M6J 3L1,M6J 
43.66585,-79.47556,M6P 2A1,M6P 
43.652640000000005,-79.411,M6J 2N2,M6J 
43.75864,-79.31796999999999,M3A 1W7,M3A 
43.65875,-79.44551,M6H 1P5,M6H 
43.76542,-79.40359000000001,M2N 3H8,M2N 
43.642790000000005,-79.43347,M6K 2K9,M6K 
43.64262,-79.40315,M5V 2P4,M5V 
43.65248,-79.40885,M6J 2J8,M6J 
43.65899,-79.42474,M6H 1J9,M6H 
43.65038,-79.41019,M6J 2J8,M6J 
43.639309999999995,-79.38174000000001,M5J 2Y5,M5J 
43.65007,-79.42560999999999,M6J 3G7,M6J 
43.64147,-79.39269,M5V 3V2,M5V 
43.66101,-79.42695,M6H 2P4,M6H 
43.657070000000004,-79.41011,M6G 1A6,M6G 
43.654959999999996,-79.40233,M5T 2N4,M5T 
43.68181,-79.32462,M4J 1K2,M4J 
43.66525,-79.38752,M5S 3A6,M5S 
43.686170000000004,-79.29311,M4E 3J7,M4E 
43.67673,-79.42318,M6G 2C8,M6G 
43.64317,-79.38044000000001,M5J 0A7,M5J 
43.63803,-79.41904,M6J 3S7,M6J 
43.660959999999996,-79.34763000000001,M4M 2H9,M4M 
43.65354,-79.43508,M6H 1E4,M6H 
43.67666,-79.31322,M4L 3M4,M4L 
43.65759,-79.37071999999999,M5A 4M1,M5A 
43.65335,-79.39001,M5T 3K8,M5T 
43.753209999999996,-79.33166,M3A 2R7,M3A 
43.66271,-79.42506,M6G 3R9,M6G 
43.65958,-79.41257,M6G 2N6,M6G 
43.6704,-79.37574000000001,M4X 1M4,M4X 
43.70519,-79.24774000000001,M1N 1M5,M1N 
43.675670000000004,-79.3122,M4L 3L4,M4L 
43.67638,-79.3102,M4L 3L4,M4L 
43.67368,-79.46032,M6N 1J4,M6N 
43.64372,-79.43283000000001,M6K 1N2,M6K 
43.63912,-79.43946,M6R 1A6,M6R 
43.64271,-79.39244000000001,M5V 3A4,M5V 
43.63514,-79.42736,M6K 1B1,M6K 
43.66203,-79.47818000000001,M6P 1S7,M6P 
43.63748,-79.40566,M5V 4A2,M5V 
43.78505,-79.20886999999999,M1E 4C6,M1E 
43.65805,-79.39601,M5T 1Y7,M5T 
43.65653,-79.36296999999999,M5A 3E8,M5A 
43.654920000000004,-79.38185,M5G 2C3,M5G 
43.68524,-79.2911,M4E 3J7,M4E 
43.67038,-79.40463000000001,M5R 1S3,M5R 
43.66675,-79.37549,M4Y 2J3,M4Y 
43.657540000000004,-79.45896,M6P 2H4,M6P 
43.65806,-79.41356,M6G 2Y3,M6G 
43.68356,-79.38266999999999,M4W 2X8,M4W 
43.65047,-79.39239,M5T 1G4,M5T 
43.74975,-79.54777,M9M 3B5,M9M 
43.749790000000004,-79.54896,M9M 3B5,M9M 
43.65848,-79.45408,M6P 1X3,M6P 
43.653690000000005,-79.45178,M6R 2S4,M6R 
43.655409999999996,-79.45326999999999,M6R 2S4,M6R 
43.648270000000004,-79.36607,M5A 4E6,M5A 
43.59771,-79.5248,M8V 1M4,M8V 
43.76686,-79.38285,M2K 0A6,M2K 
43.644459999999995,-79.40268,M5V 1H6,M5V 
43.597429999999996,-79.52484,M8V 1M4,M8V 
43.65098,-79.41023,M6J 2J8,M6J 
43.63752,-79.41382,M6K 3R2,M6K 
43.64111,-79.44660999999999,M6R 2K6,M6R 
43.71445,-79.36336,M4G 3Y9,M4G 
43.63985,-79.39556,M5V 4A3,M5V 
43.64015,-79.39331,M5V 3Y2,M5V 
43.66107,-79.44292,M6H 3Y9,M6H 
43.653940000000006,-79.45248000000001,M6R 2S4,M6R 
43.65258,-79.38203,M5G 1P5,M5G 
43.66101,-79.40961999999999,M5S 2R5,M5S 
43.66389,-79.3705,M4X 1M8,M4X 
43.6598,-79.37992,M5B 1L3,M5B 
43.637570000000004,-79.39253000000001,M5V 3T1,M5V 
43.70541,-79.39508000000001,M4S 1E8,M4S 
43.65018,-79.36801,M5A 0B1,M5A 
43.680859999999996,-79.30945,M4E 1X8,M4E 
43.656490000000005,-79.3715,M5A 4M1,M5A 
43.669540000000005,-79.38699,M4W 1A9,M4W 
43.653940000000006,-79.44922,M6R 1X3,M6R 
43.66237,-79.41412,M6G 2T8,M6G 
43.77563,-79.34923,M2J 5C5,M2J 
43.67687,-79.38436,M4W 1T5,M4W 
43.666000000000004,-79.46477,M6P 5A2,M6P 
43.64503,-79.45254,M6R 2V5,M6R 
43.665279999999996,-79.47276,M6P 2A1,M6P 
43.66455,-79.38533000000001,M4Y 3B2,M4Y 
43.674209999999995,-79.3418,M4J 1C4,M4J 
43.68249,-79.4046,M4V 2T2,M4V 
43.641420000000004,-79.43952,M6R 2C4,M6R 
43.64633,-79.39260999999999,M5V 3P7,M5V 
43.66744,-79.42984,M6G 3V7,M6G 
43.65217,-79.43590999999999,M6H 3N5,M6H 
43.65696,-79.42003000000001,M6G 1H7,M6G 
43.68885,-79.37839,M4T 1J2,M4T 
43.68141,-79.3353,M4J 1P1,M4J 
43.66101,-79.36323,M5A 2B7,M5A 
43.67685,-79.34624000000001,M4K 1L5,M4K 
43.654740000000004,-79.42532,M6H 2N9,M6H 
43.65132,-79.43274,M6H 1B5,M6H 
43.66336,-79.34374,M4M 2N2,M4M 
43.644220000000004,-79.47561,M6S 1J3,M6S 
43.66299,-79.41230999999999,M6G 2P3,M6G 
43.685359999999996,-79.40745,M4V 2T3,M4V 
43.68911,-79.41412,M5P 1R6,M5P 
43.78025,-79.32878000000001,M2J 3Z7,M2J 
43.7797,-79.32882,M2J 3Z7,M2J 
43.63711,-79.39728000000001,M5V 2V9,M5V 
43.653009999999995,-79.37899,M5B 1T8,M5B 
43.65188,-79.4324,M6H 1B5,M6H 
43.65806,-79.42713,M6H 2S9,M6H 
43.78345,-79.44525,M2R 1Z1,M2R 
43.637170000000005,-79.39801,M5V 2V9,M5V 
43.6381,-79.41828000000001,M6K 3E7,M6K 
43.68016,-79.42653,M6G 2K7,M6G 
43.66838,-79.31300999999999,M4L 3E3,M4L 
43.68241,-79.3525,M4K 1X7,M4K 
43.80025,-79.33514,M2H 2W6,M2H 
43.66342,-79.42836,M6H 2T8,M6H 
43.65043,-79.39693,M5V 3E7,M5V 
43.63986,-79.37963,M5J 2Y5,M5J 
43.67223,-79.41294,M5R 1P1,M5R 
43.67514,-79.34263,M4J 3C9,M4J 
43.63807,-79.44431,M6K 1J6,M6K 
43.64352,-79.38145,M5J 0A1,M5J 
43.67058,-79.34093,M4K 1C1,M4K 
43.67302,-79.34111,M4J 1B6,M4J 
43.64353,-79.38231,M5J 0A6,M5J 
43.6779,-79.41008000000001,M5R 1K9,M5R 
43.6828,-79.32503,M4J 1G4,M4J 
43.65747,-79.35645,M5A 1M1,M5A 
43.721070000000005,-79.33604,M3C 3Z5,M3C 
43.66491,-79.3355,M4M 1V9,M4M 
43.65435,-79.37952,M5B 1T8,M5B 
43.64651,-79.39433000000001,M5V 1J6,M5V 
43.64465,-79.3898,M5V 3E4,M5V 
43.64587,-79.43386,M6K 2L7,M6K 
43.64354,-79.39046,M5V 3P5,M5V 
43.68509,-79.38388,M4V 2C2,M4V 
43.683890000000005,-79.42578,M6C 1A9,M6C 
43.62641,-79.47662,M8V 4G1,M8V 
43.667229999999996,-79.43208,M6H 3A4,M6H 
43.65607,-79.38815,M5T 2W5,M5T 
43.669509999999995,-79.41674,M6G 2R8,M6G 
43.65352,-79.41543,M6J 2T3,M6J 
43.706759999999996,-79.3819,M4P 1N3,M4P 
43.682629999999996,-79.29767,M4E 3B2,M4E 
43.638000000000005,-79.41735,M6K 3K4,M6K 
