fsa,postal_code,property_type,room_type,price,source_loaded
M6E ,M6E 2P3,House,Private room,70.0,airbnb
M5V ,M5V 3P5,Condominium,Entire home/apt,200.0,airbnb
M4L ,M4L 2P8,Apartment,Entire home/apt,54.0,airbnb
M4S ,M4S 2M5,Apartment,Entire home/apt,80.0,airbnb
M5J ,M5J 2V3,Apartment,Entire home/apt,134.0,airbnb
M6K ,M6K 1J3,House,Entire home/apt,125.0,airbnb
M1L ,M1L 2V5,Apartment,Entire home/apt,66.0,airbnb
M1R ,M1R 4A4,Bungalow,Entire home/apt,110.0,airbnb
M4W ,M4W 3G8,Apartment,Entire home/apt,102.0,airbnb
M4W ,M4W 3N4,Apartment,Private room,121.0,airbnb
M4W ,M4W 3G8,Apartment,Private room,99.0,airbnb
M4W ,M4W 3G8,Apartment,Private room,90.0,airbnb
M5V ,M5V 2W8,Condominium,Private room,80.0,airbnb
M5J ,M5J 0A7,Condominium,Entire home/apt,177.0,airbnb
M5J ,M5J 1J5,Apartment,Entire home/apt,141.0,airbnb
M5A ,M5A 2C6,Townhouse,Entire home/apt,350.0,airbnb
M6J ,M6J 1C4,House,Private room,66.0,airbnb
M6H ,M6H 1J9,House,Private room,56.0,airbnb
M4W ,M4W 3T3,Serviced apartment,Entire home/apt,145.0,airbnb
M6J ,M6J 1C4,House,Private room,95.0,airbnb
M6H ,M6H 3B8,House,Entire home/apt,145.0,airbnb
M4W ,M4W 3G8,Apartment,Entire home/apt,145.0,airbnb
M6E ,M6E 2P3,House,Private room,60.0,airbnb
M6J ,M6J 1C9,Townhouse,Entire home/apt,218.0,airbnb
M5J ,M5J 1Y5,House,Entire home/apt,300.0,airbnb
M4L ,M4L 2M2,House,Entire home/apt,175.0,airbnb
M5R ,M5R 2R7,Apartment,Entire home/apt,159.0,airbnb
M6P ,M6P 2R5,Apartment,Entire home/apt,55.0,airbnb
M5V ,M5V 3Z1,Condominium,Entire home/apt,102.0,airbnb
M6K ,M6K 1J3,House,Entire home/apt,250.0,airbnb
M4J ,M4J 4M9,Apartment,Entire home/apt,79.0,airbnb
M5P ,M5P 2k9,Apartment,Private room,60.0,airbnb
M5V ,M5V 0G8,Apartment,Entire home/apt,70.0,airbnb
M6G ,M6G 3J8,House,Entire home/apt,240.0,airbnb
M5B ,M5B 2C1,Apartment,Private room,83.0,airbnb
M6J ,M6J 3G7,House,Entire home/apt,179.0,airbnb
M5V ,M5V 3P5,Apartment,Entire home/apt,121.0,airbnb
M5A ,M5A 4E7,Townhouse,Private room,80.0,airbnb
M6S ,M6S 4J6,Apartment,Entire home/apt,80.0,airbnb
M5V ,M5V 3S8,Condominium,Entire home/apt,249.0,airbnb
M4W ,M4W 3Y1,Condominium,Entire home/apt,92.0,airbnb
M5T ,M5T 1L8,Apartment,Private room,100.0,airbnb
M2N ,M2N 6N3,Condominium,Shared room,50.0,airbnb
M3M ,M3M 2W4,House,Private room,80.0,airbnb
M1H ,M1H 3K2,Condominium,Entire home/apt,80.0,airbnb
M6C ,M6C 2M4,House,Entire home/apt,96.0,airbnb
M4E ,M4E 2P4,House,Entire home/apt,179.0,airbnb
M4T ,M4T 2A4,Condominium,Entire home/apt,149.0,airbnb
M4Y ,M4Y 1R9,Apartment,Entire home/apt,189.0,airbnb
M6R ,M6R 1M2,Apartment,Entire home/apt,155.0,airbnb
M6P ,M6P 2A1,Guest suite,Entire home/apt,115.0,airbnb
M6K ,M6K 1X2,Condominium,Private room,48.0,airbnb
M1L ,M1L 2V2,Apartment,Entire home/apt,75.0,airbnb
M8Y ,M8Y 2J7,Bungalow,Private room,60.0,airbnb
M6K ,M6K 2L5,House,Entire home/apt,250.0,airbnb
M5B ,M5B 1H9,House,Private room,84.0,airbnb
M4Y ,M4Y 2J3,Apartment,Entire home/apt,401.0,airbnb
M5V ,M5V 3P4,Townhouse,Entire home/apt,275.0,airbnb
M6H ,M6H 1X5,Apartment,Entire home/apt,100.0,airbnb
M4M ,M4M 2P7,Guesthouse,Entire home/apt,141.0,airbnb
M5S ,M5S 1X6,Apartment,Entire home/apt,90.0,airbnb
M6E ,M6E 4T5,House,Entire home/apt,56.0,airbnb
M6E ,M6E 4T5,House,Entire home/apt,50.0,airbnb
M5A ,M5A 2M9,House,Private room,72.0,airbnb
M5A ,M5A 2M9,House,Private room,66.0,airbnb
M5A ,M5A 2M9,House,Private room,66.0,airbnb
M6K ,M6K 0A1,Condominium,Entire home/apt,104.0,airbnb
M6R ,M6R 2E7,Apartment,Entire home/apt,121.0,airbnb
M4K ,M4K 3Y2,Condominium,Private room,75.0,airbnb
M5A ,M5A 2M9,House,Private room,55.0,airbnb
M4V ,M4V 2N4,Apartment,Entire home/apt,201.0,airbnb
M5J ,M5J 2R9,Condominium,Entire home/apt,189.0,airbnb
M5B ,M5B 2H5,Apartment,Private room,178.0,airbnb
M5S ,M5S 2R2,House,Entire home/apt,252.0,airbnb
M5A ,M5A 2M9,House,Private room,75.0,airbnb
M5T ,M5T 1L4,Apartment,Private room,135.0,airbnb
M5A ,M5A 2M9,House,Private room,86.0,airbnb
M9R ,M9R 2Z1,House,Private room,52.0,airbnb
M2N ,M2N 3T6,House,Private room,60.0,airbnb
M4X ,M4X 1J7,House,Entire home/apt,125.0,airbnb
M7A ,M7A 2A9,Condominium,Entire home/apt,135.0,airbnb
M5T ,M5T 1L8,Apartment,Private room,200.0,airbnb
M6P ,M6P 3L4,Bed and breakfast,Private room,72.0,airbnb
M5J ,M5J 0A1,Apartment,Entire home/apt,95.0,airbnb
M4S ,M4S 1G3,Apartment,Shared room,40.0,airbnb
M6P ,M6P 3L4,House,Private room,90.0,airbnb
M4J ,M4J 1E8,House,Private room,50.0,airbnb
M6P ,M6P 3L4,House,Private room,84.0,airbnb
M6P ,M6P 1H7,House,Entire home/apt,260.0,airbnb
M5E ,M5E 1Z9,Apartment,Entire home/apt,110.0,airbnb
M4M ,M4M 2Y3,House,Entire home/apt,179.0,airbnb
M6J ,M6J 0A9,Loft,Entire home/apt,100.0,airbnb
M5H ,M5H 3C6,Condominium,Private room,88.0,airbnb
M6G ,M6G 2N9,Apartment,Entire home/apt,95.0,airbnb
M6K ,M6K 1J3,House,Entire home/apt,150.0,airbnb
M2N ,M2N 4L9,Apartment,Private room,141.0,airbnb
M4L ,M4L 3V3,House,Entire home/apt,299.0,airbnb
M4R ,M4R 1J7,Bed and breakfast,Private room,84.0,airbnb
M6K ,M6K 1L4,Apartment,Entire home/apt,300.0,airbnb
